chinese,pinyin,spanish,category
她自己做饭,tā zìjǐ zuò fàn,Ella misma cocina,Ejemplos reflexivos
她自己去医院,tā zìjǐ qù yīyuàn,Ella misma fue al hospital,Ejemplos reflexivos
她自己付钱,tā zìjǐ fù qián,Ella misma pagó,Ejemplos reflexivos
她自己选择了这个工作,tā zìjǐ xuǎnzé le zhè gè gōngzuò,Ella misma eligió este trabajo,Ejemplos reflexivos
她相信自己,tā xiāngxìn zìjǐ,Ella cree en sí misma,Ejemplos reflexivos
她自己学习中文,tā zìjǐ xuéxí zhōngwén,Ella misma estudia chino,Ejemplos reflexivos
她自己解决问题,tā zìjǐ jiějué wèntí,Ella misma resuelve problemas,Ejemplos reflexivos
她自己决定了,tā zìjǐ juédìng le,Ella misma lo decidió,Ejemplos reflexivos
她自己照顾孩子,tā zìjǐ zhàogù háizi,Ella misma cuida a los niños,Ejemplos reflexivos
我自己做,wǒ zìjǐ zuò,Yo mismo hago,Ejemplos reflexivos
你自己试试,nǐ zìjǐ shì shi,Prueba tú mismo,Ejemplos reflexivos
他自己去,tā zìjǐ qù,Él mismo va,Ejemplos reflexivos
我们自己学习,wǒmen zìjǐ xuéxí,Nosotros mismos estudiamos,Ejemplos reflexivos
你们自己决定,nǐmen zìjǐ juédìng,Vosotros mismos decidís,Ejemplos reflexivos
他们自己付钱,tāmen zìjǐ fù qián,Ellos mismos pagan,Ejemplos reflexivos
她做饭,tā zuò fàn,Ella cocina,Vida diaria
他上班,tā shàng bān,Él va al trabajo,Vida diaria
我学习,wǒ xué xí,Yo estudio,Vida diaria
你喝茶,nǐ hē chá,Tú bebes té,Vida diaria
我们看电影,wǒ men kàn diàn yǐng,Nosotros vemos películas,Vida diaria
你们聊天,nǐ men liáo tiān,Vosotros charláis,Vida diaria
他们工作,tā men gōng zuò,Ellos trabajan,Vida diaria
她买衣服,tā mǎi yī fu,Ella compra ropa,Vida diaria
我打电话,wǒ dǎ diàn huà,Yo llamo por teléfono,Vida diaria
他开车,tā kāi chē,Él conduce,Vida diaria
你写邮件,nǐ xiě yóu jiàn,Tú escribes un correo,Vida diaria
她唱歌,tā chàng gē,Ella canta,Vida diaria
我们吃饭,wǒ men chī fàn,Nosotros comemos,Vida diaria
他们跑步,tā men pǎo bù,Ellos corren,Vida diaria
她看电视,tā kàn diàn shì,Ella ve televisión,Vida diaria
我读书,wǒ dú shū,Yo leo un libro,Vida diaria
你做饭,nǐ zuò fàn,Tú cocinas,Vida diaria
他洗澡,tā xǐ zǎo,Él se baña,Vida diaria
她睡觉,tā shuì jiào,Ella duerme,Vida diaria
我们旅行,wǒ men lǚ xíng,Nosotros viajamos,Vida diaria